site_va	kind	status	label	legacy_label	target_va	legacy_target_va	span_end
0x100d18ad	memcpy	SAME	永久属性	永久属性	0x73d9fb	0x73d9fb	0x73da04
0x100d18ee	memcpy	SAME	永久属性	永久属性	0x73da04	0x73da04	0x73da0d
0x100d192f	memcpy	SAME	永久属性	永久属性	0x73da16	0x73da16	0x73da1f
0x100d1970	memcpy	SAME	永久属性	永久属性	0x73da1f	0x73da1f	0x73da28
0x100d19b1	memcpy	SAME	永久属性	永久属性	0x73da28	0x73da28	0x73da31
0x100d19f2	memcpy	SAME	永久属性	永久属性	0x73da31	0x73da31	0x73da3a
0x100d1a33	memcpy	SAME	永久属性	永久属性	0x73da3a	0x73da3a	0x73da43
0x100d1b56	tramp1	NEW	特殊属性		0x6e41bd	-	0x6e41c2
0x100d1ba8	tramp1	NEW	特殊属性		0x73d951	-	0x73d958
0x100d1c6c	memcpy	SAME	特殊属性	特殊属性	0x6e41bd	0x6e41bd	0x6e41c2
0x100d1cad	memcpy	SAME	特殊属性	特殊属性	0x73d951	0x73d951	0x73d958
0x100d1de6	tramp1	NEW	复活触发脚本		0x73c484	-	0x73c48a
0x100d1f0d	memcpy	SAME	复活触发脚本	复活触发脚本	0x73c484	0x73c484	0x73c48a
0x100d2256	tramp1	NEW	复活戒指改cd		0x73c4f2	-	0x73c4f8
0x100d22a5	tramp1	NEW	复活戒指改cd		0x73c47a	-	0x73c47f
0x100d22f4	tramp1	NEW	复活戒指改cd		0x743751	-	0x743756
0x100d23bf	memcpy	SAME	复活戒指改cd	复活戒指改cd	0x73c4f2	0x73c4f2	0x73c4f8
0x100d23fd	memcpy	SAME	复活戒指改cd	复活戒指改cd	0x73c47a	0x73c47a	0x73c47f
0x100d243b	memcpy	SAME	复活戒指改cd	复活戒指改cd	0x743751	0x743751	0x743756
0x100d25d0	tramp1	NEW	复活戒指概率		0x74373a	-	0x743741
0x100d2684	memcpy	SAME	复活戒指概率	复活戒指概率	0x74373a	0x74373a	0x743741
0x100d26fd	tramp1	NEW	被击杀触发		0x766624	-	0x766629
0x100d282c	memcpy	SAME	被击杀触发	被击杀触发	0x766624	0x766624	0x766629
0x100d2938	tramp1	NEW	移动速度		0x73d983	-	0x73d98a
0x100d29f9	memcpy	SAME	移动速度	移动速度	0x73d983	0x73d983	0x73d98a
0x100d2a71	tramp1	NEW	攻击反伤		0x767bb4	-	0x767bb9
0x100d2b26	memcpy	SAME	攻击反伤	攻击反伤	0x767bb4	0x767bb4	0x767bb9
0x100d2ba2	tramp1	NEW	捡物触发		0x6b770c	-	0x6b7711
0x100d2cd4	memcpy	SAME	捡物触发	捡物触发	0x6b770c	0x6b770c	0x6b7711
0x100d2d50	tramp1	NEW	攻击触发		0x76e35d	-	0x76e362
0x100d2e7f	memcpy	SAME	攻击触发	攻击触发	0x76e35d	0x76e35d	0x76e362
0x100d2f0b	tramp1	NEW	魔法攻击触发		0x76de84	-	0x76de8a
0x100d305f	memcpy	SAME	魔法攻击触发	魔法攻击触发	0x76de84	0x76de84	0x76de8a
0x100d3509	tramp1	NEW	新穿戴触发		0x75f085	-	0x75f08c
0x100d355b	tramp1	NEW	新穿戴触发		0x75ea37	-	0x75ea3c
0x100d371c	memcpy	SAME	新穿戴触发	新穿戴触发	0x75f085	0x75f085	0x75f08c
0x100d375a	memcpy	SAME	新穿戴触发	新穿戴触发	0x75ea37	0x75ea37	0x75ea3c
0x100d383b	tramp1	NEW	禁止装备自动绑定		0x784351	-	0x784358
0x100d390a	memcpy	SAME	禁止装备自动绑定	禁止装备自动绑定	0x784351	0x784351	0x784358
0x100d3979	tramp1	NEW	AddLimLF函数修改		0x6de8e3	-	0x6de8eb
0x100d3a30	memcpy	SAME	AddLimLF函数修改	AddLimLF函数修改	0x6de8e3	0x6de8e3	0x6de8eb
0x100d3a9f	tramp1	NEW	IncActivePoint函数修改		0x6f91ba	-	0x6f91c0
0x100d3b55	memcpy	SAME	IncActivePoint函数修改	IncActivePoint函数修改	0x6f91ba	0x6f91ba	0x6f91c0
0x100d3bc4	tramp1	NEW	新倍攻和暴击		0x76c88b	-	0x76c890
0x100d3cec	memcpy	SAME	新倍攻和暴击	新倍攻和暴击	0x76c88b	0x76c88b	0x76c890
0x100d3d5b	tramp1	NEW	give极品		0x6c89ae	-	0x6c89b6
0x100d3e12	memcpy	SAME	give极品	give极品	0x6c89ae	0x6c89ae	0x6c89b6
0x100d3e8a	tramp1	NEW	麻痹概率		0x76e2d2	-	0x76e2d7
0x100d3f3f	memcpy	SAME	麻痹概率	麻痹概率	0x76e2d2	0x76e2d2	0x76e2d7
0x100d4417	tramp1	NEW	英雄穿戴触发		0x75f08c	-	0x75f093
0x100d4469	tramp1	NEW	英雄穿戴触发		0x75ea31	-	0x75ea37
0x100d4633	memcpy	SAME	英雄穿戴触发	英雄穿戴触发	0x75f08c	0x75f08c	0x75f093
0x100d4674	memcpy	SAME	英雄穿戴触发	英雄穿戴触发	0x75ea31	0x75ea31	0x75ea37
0x100d46e3	tramp1	NEW	英雄攻速移速		0x73da43	-	0x73da4c
0x100d47a5	memcpy	SAME	英雄攻速移速	英雄攻速移速	0x73da43	0x73da43	0x73da4c
0x100d4814	tramp1	NEW	BB杀怪触发		0x71f467	-	0x71f46c
0x100d4945	memcpy	SAME	BB杀怪触发	BB杀怪触发	0x71f467	0x71f467	0x71f46c
0x100d49b4	tramp1	NEW	英雄倍攻和暴击		0x76c816	-	0x76c81d
0x100d4af9	memcpy	SAME	英雄倍攻和暴击	英雄倍攻和暴击	0x76c816	0x76c816	0x76c81d
0x100d4b75	tramp1	NEW	BB死亡触发		0x76631c	-	0x766321
0x100d4cb7	memcpy	SAME	BB死亡触发	BB死亡触发	0x76631c	0x76631c	0x766321
0x100d4f10	tramp1	NEW	特殊宝宝		0x7671a2	-	0x7671a8
0x100d4f62	tramp1	NEW	特殊宝宝		0x76de42	-	0x76de4c
0x100d503d	memcpy	SAME	特殊宝宝	特殊宝宝	0x7671a2	0x7671a2	0x7671a8
0x100d507e	memcpy	SAME	特殊宝宝	特殊宝宝	0x76de42	0x76de42	0x76de4c
0x100d50ed	tramp1	NEW	英雄施法速度		0x68dd60	-	0x68dd65
0x100d51a1	memcpy	SAME	英雄施法速度	英雄施法速度	0x68dd60	0x68dd60	0x68dd65
0x100d533d	tramp1	NEW	读取英雄装备		0x6e04e7	-	0x6e04ec
0x100d53e8	memcpy	SAME	读取英雄装备	读取英雄装备	0x6e04e7	0x6e04e7	0x6e04ec
0x100d569e	tramp1	NEW	装备来源		0x71fe90	-	0x71fe95
0x100d56f0	tramp1	NEW	装备来源		0x6c8aaa	-	0x6c8aaf
0x100d57bc	memcpy	SAME	装备来源	装备来源	0x71fe90	0x71fe90	0x71fe95
0x100d57fa	memcpy	SAME	装备来源	装备来源	0x6c8aaa	0x6c8aaa	0x6c8aaf
0x100d5968	tramp1	NEW	上线触发		0x6548bd	-	0x6548c2
0x100d5a94	memcpy	SAME	上线触发	上线触发	0x6548bd	0x6548bd	0x6548c2
0x100d5c12	tramp1	NEW	永久攻速		0x73d9a0	-	0x73d9ab
0x100d5cdd	memcpy	SAME	永久攻速	永久攻速	0x73d9a0	0x73d9a0	0x73d9ab
